"","analysis","mean","lower","upper"
"1","allpos","0.2816933545575","0.247754457769088","0.30995936315804"
"2","mild60","0.355163596132022","0.303313993229749","0.413823528745155"
"3","mild65","0.349350932915217","0.297592140349338","0.405613989851152"
"4","mild70","0.360416544243856","0.303600417295289","0.424133118812881"
"5","mild75","0.380342032941997","0.3160630654882","0.455629377316325"
"6","mild80","0.383015455217171","0.317948950088692","0.465274276903735"
"7","mild85","0.398331927618175","0.328086910915321","0.48762548061469"
"8","mild90","0.416907731160923","0.337258910785142","0.532249479139491"
"9","mild95","0.440967787530901","0.348044539144066","0.577707721235349"
"10","mild100","0.458796424328821","0.358754520752454","0.609793650431802"
"11","mild80-alldata","0.364134217001507","0.311780572234767","0.42696122800735"
"12","mild80-nocovs","0.363237817424624","0.311122584462674","0.426300766576484"
